"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","get started link","webkit","2026-04-09","failed","2026-04-09","","example.spec.js","",""
"","5","Data Driven Test for undefined and KKHHYY","webkit","2026-04-09","failed","2026-04-09","","dataDrivenTest.spec.js","",""
"","4","adactin fixture","chromium","2026-04-09","failed","2026-04-09","","Pages/fixadactin.spec.js","",""
"","4","Data Driven Test for undefined and HYT56","firefox","2026-04-09","failed","2026-04-09","","dataDrivenTest.spec.js","",""
"","4","Data Driven Test for undefined and HYT56","webkit","2026-04-09","failed","2026-04-09","","dataDrivenTest.spec.js","",""
"","4","Data Driven Test for undefined and JKIY","webkit","2026-04-09","failed","2026-04-09","","dataDrivenTest.spec.js","",""
"","4","Data Driven Test for undefined and RTRR54","webkit","2026-04-09","failed","2026-04-09","","dataDrivenTest.spec.js","",""
"","5","Data Driven Test for undefined and J5TKD6","chromium","2026-04-09","failed","2026-04-09","","dataDrivenTest.spec.js","",""
"","4","Data Driven Test for undefined and J5TKD6","webkit","2026-04-09","failed","2026-04-09","","dataDrivenTest.spec.js","",""
"","4","has title","chromium","2026-04-09","failed","2026-04-09","","example.spec.js","",""
"","4","adactin fixture","firefox","2026-04-09","failed","2026-04-09","","Pages/fixadactin.spec.js","",""
"","4","adactin hotel app","webkit","2026-04-09","failed","2026-04-09","","adactin.spec.js","",""
"","4","Data Driven Test for undefined and HYT56","chromium","2026-04-09","failed","2026-04-09","","dataDrivenTest.spec.js","",""
"","4","Data Driven Test for undefined and KKHHYY","chromium","2026-04-09","failed","2026-04-09","","dataDrivenTest.spec.js","",""
"","4","adactin hotel app","chromium","2026-04-09","failed","2026-04-09","","adactin.spec.js","",""
"","4","get started link","firefox","2026-04-09","failed","2026-04-09","","example.spec.js","",""
"","5","Data Driven Test for undefined and RTRR54","chromium","2026-04-09","failed","2026-04-09","","dataDrivenTest.spec.js","",""
"","5","Data Driven Test for undefined and JKIY","chromium","2026-04-09","failed","2026-04-09","","dataDrivenTest.spec.js","",""
"","4","Data Driven Test for undefined and RTRR54","firefox","2026-04-09","failed","2026-04-09","","dataDrivenTest.spec.js","",""
"","4","adactin fixture","webkit","2026-04-09","failed","2026-04-09","","Pages/fixadactin.spec.js","",""
"","4","Data Driven Test for undefined and JKIY","firefox","2026-04-09","failed","2026-04-09","","dataDrivenTest.spec.js","",""
"","4","get started link","chromium","2026-04-09","failed","2026-04-09","","example.spec.js","",""
"","4","Data Driven Test for undefined and J5TKD6","firefox","2026-04-09","failed","2026-04-09","","dataDrivenTest.spec.js","",""
"","4","Data Driven Test for undefined and KKHHYY","firefox","2026-04-09","failed","2026-04-09","","dataDrivenTest.spec.js","",""
"","4","has title","webkit","2026-04-09","failed","2026-04-09","","example.spec.js","",""
"","5","has title","firefox","2026-04-09","failed","2026-04-09","","example.spec.js","",""
"","4","adactin hotel app","firefox","2026-04-09","failed","2026-04-09","","adactin.spec.js","",""
